run_id,timestamp,datetime,switch_id,port_no,throughput_mbps,packet_loss_rate,latency_ms,jitter_ms,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,label
run_20260505_221805,1778015886.8547757,22:18:06,1,4,0.0,0.0,4.874,1.7932,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015886.8547757,22:18:06,1,1,0.0,0.0,4.874,1.7932,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015886.8547757,22:18:06,1,2,0.0,0.0,4.874,1.7932,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015886.8547757,22:18:06,1,3,0.0,0.0,4.874,1.7932,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015888.9158928,22:18:08,1,4,0.0,8e-06,8.303,1.8954,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015888.9158928,22:18:08,1,1,0.0,0.000593,8.303,1.8954,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015888.9158928,22:18:08,1,2,0.0,1.2e-05,8.303,1.8954,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015888.9158928,22:18:08,1,3,0.0,0.00095,8.303,1.8954,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015890.9769602,22:18:10,1,4,0.0,7e-06,4.835,1.9937,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015890.9769602,22:18:10,1,1,0.0,0.000474,4.835,1.9937,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015890.9769602,22:18:10,1,2,0.0,9e-06,4.835,1.9937,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015890.9769602,22:18:10,1,3,0.0,0.00076,4.835,1.9937,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015893.0401454,22:18:13,1,4,0.0,5e-06,4.386,1.8972,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015893.0401454,22:18:13,1,1,0.0,0.000379,4.386,1.8972,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015893.0401454,22:18:13,1,2,0.0,7e-06,4.386,1.8972,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015893.0401454,22:18:13,1,3,0.0,0.000608,4.386,1.8972,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015895.1026368,22:18:15,1,4,0.0,4e-06,5.03,1.8189,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015895.1026368,22:18:15,1,1,0.0,0.000304,5.03,1.8189,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015895.1026368,22:18:15,1,2,0.0,6e-06,5.03,1.8189,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015895.1026368,22:18:15,1,3,0.0,0.000486,5.03,1.8189,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015897.1642325,22:18:17,1,4,0.0,3e-06,6.124,1.7735,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015897.1642325,22:18:17,1,1,0.0,0.000243,6.124,1.7735,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015897.1642325,22:18:17,1,2,0.0,5e-06,6.124,1.7735,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015897.1642325,22:18:17,1,3,0.0,0.000389,6.124,1.7735,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015899.226202,22:18:19,1,4,0.0,3e-06,5.706,1.6888,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015899.226202,22:18:19,1,1,0.0,0.000194,5.706,1.6888,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015899.226202,22:18:19,1,2,0.0,4e-06,5.706,1.6888,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015899.226202,22:18:19,1,3,0.0,0.000311,5.706,1.6888,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015901.2866483,22:18:21,1,4,0.0,2e-06,5.414,1.6015,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015901.2866483,22:18:21,1,1,0.0,0.000155,5.414,1.6015,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015901.2866483,22:18:21,1,2,0.0,3e-06,5.414,1.6015,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015901.2866483,22:18:21,1,3,0.0,0.000249,5.414,1.6015,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015903.346768,22:18:23,1,4,0.0,2e-06,4.584,1.5533,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015903.346768,22:18:23,1,1,0.0,0.000124,4.584,1.5533,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015903.346768,22:18:23,1,2,0.0,2e-06,4.584,1.5533,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015903.346768,22:18:23,1,3,0.0,0.000199,4.584,1.5533,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015905.4086058,22:18:25,1,4,0.0,1e-06,6.019,1.5458,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015905.4086058,22:18:25,1,1,0.0,9.9e-05,6.019,1.5458,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015905.4086058,22:18:25,1,2,0.0,2e-06,6.019,1.5458,51432412,35274186,138945,124772,0,0,NORMAL
run_20260505_221805,1778015905.4086058,22:18:25,1,3,0.0,0.000159,6.019,1.5458,110711776,102538132,308062,284027,0,0,NORMAL
run_20260505_221805,1778015907.4729822,22:18:27,1,4,0.0,1e-06,4.223,1.5615,4941468,155463540,37503,129913,0,0,NORMAL
run_20260505_221805,1778015907.4729822,22:18:27,1,1,0.0,8e-05,4.223,1.5615,232165622,66901024,306544,180193,0,0,NORMAL
run_20260505_221805,1778015907.4729822,22:18:27,1,2,0.0,2e-06,4.223,1.5615,51432412,35274186,138945,124772,0,0,NORMAL
